data_ogloszenia;nr_bzp;wojewodztwo;zamawiajacy;miejscowosc;przedmiot;rodzaj_zamowienia;cpv_glowny;wspolfinansowanie_ue;wynik;liczba_ofert;cena_najnizsza_pln;cena_najwyzsza_pln;cena_wybrana_pln;wykonawca_lub_wykonawcy;data_umowy
2021-08-23;2021/BZP 00156583/01;dolnośląskie;Przedsiębiorstwo Gospodarki Miejskiej Sp.z o.o.;Polkowice;„Wykonanie koncepcji wraz z montażem i uruchomieniem systemu nadzoru i zdalnego sterowania sieci wodno-kanalizacyjnej ”;Usługi;51300000-5 - Usługi instalowania urządzeń komunikacyjnych;Nie;umowa;2;824100;996300;824100;Technika Pomiarowa i Automatyka Cieplna Bolesław Dziadosz (NIP 6921004473 , Polkowice );2021-08-13
2021-09-09;2021/BZP 00175607/01;zachodniopomorskie;Zakład Usług Komunalnych;Gryfice;Dostawa urządzeń i montaż oprogramowania do sterowania i monitoringu pracy oczyszczalni ścieków w Gryficach;Usługi;72268000-1 - Usługi dostawy oprogramowania;Nie;uniewaznione;2;399000,00;460141,46;;;
2021-12-09;2021/BZP 00308521/01;pomorskie;URZĄD GMINY KOSAKOWO;Kosakowo;Przebudowa i remont stacji uzdatniania wody wraz z budową zbiornika retencyjnego w msc. Dębogórze oraz centralny system monitoringu SUW dla gminy Kosakowo;Roboty budowlane;45240000-1 - Budowa obiektów inżynierii wodnej;Nie;umowa;2;1469850;1924950;1469850;Centrum Badawczo – Wdrożeniowe UNITEX sp z o.o (NIP 5840152269 , Gdańsk );2021-11-04
2021-12-13;2021/BZP 00311081/01;świętokrzyskie;Gmina Daleszyce;Daleszyce;Wykonanie monitoringu ujęcia i sieci Marzysz;Usługi;38421000-2 - Urządzenia do pomiaru przepływu;Nie;umowa;1;199500,00;199500,00;199500,00;Zakład Usług Komunalnych w Daleszycach Sp. z o.o. (NIP 6572883110 , Daleszyce );2021-12-07
2022-02-21;2022/BZP 00062988/01;mazowieckie;Miasto Podkowa Leśna;Podkowa Leśna;Modernizacja 4 szt. przepompowni ścieków na terenie Podkowy Leśnej poprzez wymianę szaf sterowniczych oraz montaż systemu monitorującego pracę przepompowni – telemetria;Usługi;51900000-1 - Usługi instalowania systemów sterowania i kontroli;Tak;uniewaznione;;;;;;
2022-05-04;2022/BZP 00143917/01;kujawsko-pomorskie;Gmina Płużnica;Płużnica;Rozbudowa stacji uzdatniania wody i wykonanie systemu zarządzania siecią wodociągową na terenie gminy Płużnica.;Roboty budowlane;45232430-5 - Roboty w zakresie uzdatniania wody;Nie;uniewaznione;1;;;;;
2022-09-16;2022/BZP 00350830/01;kujawsko-pomorskie;Gmina Płużnica;Płużnica;Rozbudowa stacji uzdatniania wody i wykonanie systemu zarządzania siecią wodociągową na terenie gminy Płużnica – II postępowanie.;Roboty budowlane;45232430-5 - Roboty w zakresie uzdatniania wody;Nie;umowa;1;228631,17;228631,17;228631,17;"Zlote Runo Sp. z o.o. (NIP 7010220422 , Warszawa ); Metrolog Sp. z o.o. (NIP 7631861838 , Czarnków ); Metrolog Sp. z o.o. (NIP 7631861838 , Czarnków )";2022-09-14
2022-11-21;2022/BZP 00448696/01;małopolskie;Miejski Zakład Wodociągów i Kanalizacji w Nowym Targu Sp. z o.o.;Nowy Targ;"Wykonanie wizualizacji i systemu zdalnego sterowania ujęciem wód podziemnych ""Podhale"" na terenie byłego NZPS";Dostawy;71631440-6 - Usługi monitorowania przepływu;Nie;uniewaznione;;;;;;
2023-01-23;2023/BZP 00050009/01;małopolskie;Miejski Zakład Wodociągów i Kanalizacji w Nowym Targu Sp. z o.o.;Nowy Targ;Wykonanie wizualizacji i systemu zdalnego sterowania ujęciem wód podziemnych „Podhale” na terenie byłego NZPS w Nowym Targu – II postępowanie;Dostawy;71631440-6 - Usługi monitorowania przepływu;Nie;umowa;1;242014,80;242014,80;242014,80;MEDAS Sp. z o.o. (NIP 6340135162 , Mikołów );2023-01-11
2023-04-05;2023/BZP 00165797/01;mazowieckie;GMINA CHOTCZA;Chotcza-Józefów;Ograniczenie strat wody poprzez wdrożenie systemu monitoringu sieci wodociągowej i radiowego odczytu wodomierzy;Dostawy;38410000-2 - Przyrządy pomiarowe;Nie;umowa;1;377044,20;377044,20;377044,20;METERING Anna Moder (NIP 831-115-55-42 , Buczek );2023-03-29
